,avg,min,max
blueInit,75.0,75.0,75.0
redInit,125.0,125.0,125.0
blueCasualties,75.0,75.0,75.0
redCasualties,81.1,76.0,87.0
goal1Red,43.9,38.0,49.0
goal1Blue,0.0,0.0,0.0
goal2Red,0.0,0.0,0.0
goal2Blue,0.0,0.0,0.0
goal3Red,0.0,0.0,0.0
goal3Blue,0.0,0.0,0.0
