,avg,min,max
blueInit,75.0,75.0,75.0
redInit,125.0,125.0,125.0
blueCasualties,75.0,75.0,75.0
redCasualties,67.6,33.0,90.0
goal1Red,46.0,34.0,50.0
goal1Blue,0.0,0.0,0.0
goal2Red,0.0,0.0,0.0
goal2Blue,0.0,0.0,0.0
goal3Red,0.0,0.0,0.0
goal3Blue,0.0,0.0,0.0
