expIndex,seed,blueInit,redInit,blueCasualties,redCasualties,goal1Red,goal1Blue,goal1Score,goal2Red,goal2Blue,goal2Score,goal3Red,goal3Blue,goal3Score,totalScore
1,3710228239,75,125,75,68,48,0,0,0,0,0,0,0,0,0
2,237606862,75,125,75,64,48,0,0,0,0,0,0,0,0,0
3,887779609,75,125,75,59,50,0,0,0,0,0,0,0,0,0
4,1666020743,75,125,75,64,49,0,0,0,0,0,0,0,0,0
5,2521396781,75,125,75,62,49,0,0,0,0,0,0,0,0,0
6,3084735355,75,125,75,78,45,0,0,0,0,0,0,0,0,0
7,3579738239,75,125,75,79,44,0,0,0,0,0,0,0,0,0
8,3779178232,75,125,75,33,50,0,0,0,0,0,0,0,0,0
9,1392521905,75,125,75,79,43,0,0,0,0,0,0,0,0,0
10,1799110663,75,125,75,90,34,0,0,0,0,0,0,0,0,0
