expIndex,seed,blueInit,redInit,blueCasualties,redCasualties,goal1Red,goal1Blue,goal1Score,goal2Red,goal2Blue,goal2Score,goal3Red,goal3Blue,goal3Score,totalScore
1,733784548,75,125,25,36,50,0,0,0,0,0,0,50,0.2,0.2
2,622709451,75,125,25,38,50,0,0,0,0,0,0,50,0.2,0.2
3,287170005,75,125,25,40,50,0,0,0,0,0,0,50,0.2,0.2
4,4094021745,75,125,25,25,50,0,0,0,0,0,0,50,0.2,0.2
5,1010243577,75,125,25,26,50,0,0,0,0,0,0,50,0.2,0.2
6,2081675441,75,125,25,25,50,0,0,0,0,0,0,50,0.2,0.2
7,3190360705,75,125,25,43,50,0,0,0,0,0,0,50,0.2,0.2
8,1493067475,75,125,25,32,50,0,0,0,0,0,0,50,0.2,0.2
9,1789731077,75,125,25,37,50,0,0,0,0,0,0,50,0.2,0.2
10,1511756442,75,125,25,41,50,0,0,0,0,0,0,50,0.2,0.2
