,avg,min,max
blueInit,75.0,75.0,75.0
redInit,125.0,125.0,125.0
blueCasualties,47.0,38.0,50.0
redCasualties,67.1,53.0,84.0
goal1Red,48.3,41.0,50.0
goal1Blue,0.0,0.0,0.0
goal2Red,0.0,0.0,0.0
goal2Blue,0.0,0.0,0.0
goal3Red,0.0,0.0,0.0
goal3Blue,25.0,25.0,25.0
