,avg,min,max
blueInit,75.0,75.0,75.0
redInit,75.0,75.0,75.0
blueCasualties,25.0,25.0,25.0
redCasualties,33.65,30.0,41.0
goal1Red,0.0,0.0,0.0
goal1Blue,25.0,25.0,25.0
goal2Red,0.0,0.0,0.0
goal2Blue,25.0,25.0,25.0
goal3Red,41.35,34.0,45.0
goal3Blue,0.0,0.0,0.0
