,avg,min,max
blueInit,75.0,75.0,75.0
redInit,125.0,125.0,125.0
blueCasualties,0.0,0.0,0.0
redCasualties,0.0,0.0,0.0
goal1Red,50.0,50.0,50.0
goal1Blue,0.0,0.0,0.0
goal2Red,0.0,0.0,0.0
goal2Blue,50.0,50.0,50.0
goal3Red,0.0,0.0,0.0
goal3Blue,0.0,0.0,0.0
