expIndex,seed,blueInit,redInit,blueCasualties,redCasualties,goal1Red,goal1Blue,goal1Score,goal2Red,goal2Blue,goal2Score,goal3Red,goal3Blue,goal3Score,totalScore
1,2276803293,75,125,0,0,50,0,0,0,50,0.2,0,0,0,0.2
2,1675751946,75,125,0,0,50,0,0,0,50,0.2,0,0,0,0.2
3,991664963,75,125,0,0,50,0,0,0,50,0.2,0,0,0,0.2
4,346628542,75,125,0,0,50,0,0,0,50,0.2,0,0,0,0.2
5,3989671047,75,125,0,0,50,0,0,0,50,0.2,0,0,0,0.2
6,3336198035,75,125,0,0,50,0,0,0,50,0.2,0,0,0,0.2
7,2682199950,75,125,0,0,50,0,0,0,50,0.2,0,0,0,0.2
8,2012303723,75,125,0,0,50,0,0,0,50,0.2,0,0,0,0.2
9,1361108736,75,125,0,0,50,0,0,0,50,0.2,0,0,0,0.2
10,732359361,75,125,0,0,50,0,0,0,50,0.2,0,0,0,0.2
